x,y,z
12.4,0.088,Sub-Saharan Africa
11.25498791,0.176,Sub-Saharan Africa
37.31205037,0.176,Sub-Saharan Africa
11.38764617,0.324,Sub-Saharan Africa
4.866224464,0.118,Sub-Saharan Africa
20.68014766,0.412,Sub-Saharan Africa
3.8,0,Sub-Saharan Africa
3.5,0.029,Sub-Saharan Africa
7.459161386,0.029,Sub-Saharan Africa
7.615974662,0.059,Sub-Saharan Africa
21.88520842,0.235,Sub-Saharan Africa
3.799999507,0.029,Sub-Saharan Africa
11.92243143,0.059,Sub-Saharan Africa
21.31999999,0,Sub-Saharan Africa
11.6,0.029,Sub-Saharan Africa
45.78453653,0.029,Sub-Saharan Africa
16.5,0.088,Sub-Saharan Africa
31.44785241,0.294,Sub-Saharan Africa
8.2,0.029,Sub-Saharan Africa
3.540706917,0.029,Sub-Saharan Africa
21,0.412,Sub-Saharan Africa
25,0,Sub-Saharan Africa
5.903867603,0.206,Sub-Saharan Africa
4.17397219,0.088,Sub-Saharan Africa
9.298148347,0.176,Sub-Saharan Africa
10.33,0.088,Sub-Saharan Africa
15.19912669,0.147,Sub-Saharan Africa
50.13931848,0.588,Sub-Saharan Africa
16.93353299,0.059,Sub-Saharan Africa
25.68785182,0,Sub-Saharan Africa
2.476219975,0.088,Sub-Saharan Africa
24.5,0.441,Sub-Saharan Africa
18,0.529,Sub-Saharan Africa
25.82,0.059,Sub-Saharan Africa
21.69026413,0.176,Sub-Saharan Africa
54.25961786,0.118,Sub-Saharan Africa
6.344421603,0.059,Sub-Saharan Africa
1.76,0.029,Sub-Saharan Africa
51.91911572,0.382,Sub-Saharan Africa
5.5,0.088,Sub-Saharan Africa
26.61492855,0.441,Sub-Saharan Africa
25.64304231,0.059,Sub-Saharan Africa
10,0.206,Sub-Saharan Africa
7.12,0.265,Sub-Saharan Africa
17.83485947,0.559,Sub-Saharan Africa
21,0.147,Sub-Saharan Africa
22.7428181,0.088,Sub-Saharan Africa
