x,y,z
8.26,0.265,South Asia
63.2529327,0.206,Europe and Central Asia
38.2,0.176,Middle East and North Africa
96.91,0.059,Europe and Central Asia
12.4,0.088,Sub-Saharan Africa
70,0.118,Latin America and the Caribbean
68.04306411,0.412,Latin America and the Caribbean
59.10237771,0.176,Europe and Central Asia
84.56051935,0.765,East Asia and the Pacific
83.94014193,0.676,Europe and Central Asia
77,0.529,Europe and Central Asia
78,0.147,Latin America and the Caribbean
93.47830114,0.294,Middle East and North Africa
14.4,0.294,South Asia
76.11,0.176,Latin America and the Caribbean
67.3,0.176,Europe and Central Asia
85.0529,0.441,Europe and Central Asia
41.59,0.176,Latin America and the Caribbean
11.25498791,0.176,Sub-Saharan Africa
39.8,0.118,South Asia
35.56227065,0.118,Latin America and the Caribbean
65.0655028,0.176,Europe and Central Asia
37.31205037,0.176,Sub-Saharan Africa
58.32795173,0.706,Latin America and the Caribbean
71.2,0.382,East Asia and the Pacific
56.6563,0.441,Europe and Central Asia
11.38764617,0.324,Sub-Saharan Africa
4.866224464,0.118,Sub-Saharan Africa
19,0.118,East Asia and the Pacific
20.68014766,0.412,Sub-Saharan Africa
88.47,0.794,North America
3.8,0,Sub-Saharan Africa
3.5,0.029,Sub-Saharan Africa
64.289,0.382,Latin America and the Caribbean
50.3,0.441,East Asia and the Pacific
55.90497251,0.588,Latin America and the Caribbean
7.459161386,0.029,Sub-Saharan Africa
7.615974662,0.059,Sub-Saharan Africa
59.76295014,0.353,Latin America and the Caribbean
21.88520842,0.235,Sub-Saharan Africa
69.8031,0.412,Europe and Central Asia
37.30509742,0.029,Latin America and the Caribbean
71.7159,0.294,Europe and Central Asia
75.6688387,0.5,Europe and Central Asia
3.799999507,0.029,Sub-Saharan Africa
96.3305,0.588,Europe and Central Asia
11.92243143,0.059,Sub-Saharan Africa
65,0.059,Latin America and the Caribbean
54.21576634,0.118,Latin America and the Caribbean
48.94043379,0.353,Latin America and the Caribbean
37.81938343,0.588,Middle East and North Africa
26.80260496,0.206,Latin America and the Caribbean
21.31999999,0,Sub-Saharan Africa
88.4118116,0.706,Europe and Central Asia
11.6,0.029,Sub-Saharan Africa
42.5,0.059,East Asia and the Pacific
86.42213333,0.618,Europe and Central Asia
84.6945,0.588,Europe and Central Asia
45.78453653,0.029,Sub-Saharan Africa
16.5,0.088,Sub-Saharan Africa
47.56975964,0.5,Europe and Central Asia
87.5898,0.706,Europe and Central Asia
31.44785241,0.294,Sub-Saharan Africa
66.835,0.206,Europe and Central Asia
53.81,0.118,Latin America and the Caribbean
28.80594156,0.206,Latin America and the Caribbean
8.2,0.029,Sub-Saharan Africa
3.540706917,0.029,Sub-Saharan Africa
34,0.118,Latin America and the Caribbean
12.1977,0.059,Latin America and the Caribbean
27.61981381,0,Latin America and the Caribbean
84.94835296,0.618,East Asia and the Pacific
72.8347,0.676,Europe and Central Asia
98.2,0.206,Europe and Central Asia
26,0.706,South Asia
21.97606771,0.471,East Asia and the Pacific
45.33497588,0.294,Middle East and North Africa
17.22,0.029,Middle East and North Africa
80.1224,0.206,Europe and Central Asia
77.35208966,0.676,Middle East and North Africa
58.14173496,0.559,Europe and Central Asia
42.22122119,0.235,Latin America and the Caribbean
91.05802839,0.706,East Asia and the Pacific
60.11438269,0.206,Middle East and North Africa
72.9,0.176,Europe and Central Asia
21,0.412,Sub-Saharan Africa
12.99748389,0.088,East Asia and the Pacific
77.52326901,0.059,Middle East and North Africa
30.24704278,0.118,Europe and Central Asia
18.2,0.059,East Asia and the Pacific
79.2006,0.647,Europe and Central Asia
74,0.088,Middle East and North Africa
25,0,Sub-Saharan Africa
5.903867603,0.206,Sub-Saharan Africa
96.6411951,0.118,Europe and Central Asia
71.378,0.441,Europe and Central Asia
97.3341,0.471,Europe and Central Asia
70.3802,0.147,Europe and Central Asia
4.17397219,0.088,Sub-Saharan Africa
9.298148347,0.176,Sub-Saharan Africa
71.06406781,0.765,East Asia and the Pacific
54.46195515,0.088,South Asia
10.33,0.088,Sub-Saharan Africa
76.184,0.353,Europe and Central Asia
19.2824418,0,East Asia and the Pacific
15.19912669,0.147,Sub-Saharan Africa
50.13931848,0.588,Sub-Saharan Africa
57.43104299,0.324,Latin America and the Caribbean
31.50108128,0.118,East Asia and the Pacific
63.30662538,0.382,Europe and Central Asia
21.43603111,0.412,East Asia and the Pacific
68.11958104,0.382,Europe and Central Asia
57.08,0.559,Middle East and North Africa
16.93353299,0.059,Sub-Saharan Africa
21.72583401,0.382,East Asia and the Pacific
25.68785182,0,Sub-Saharan Africa
17.58161801,0.118,South Asia
91.72413793,0.676,Europe and Central Asia
88.22288882,0.735,East Asia and the Pacific
19.7042915,0.147,Latin America and the Caribbean
2.476219975,0.088,Sub-Saharan Africa
24.5,0.441,Sub-Saharan Africa
96.8103,0.735,Europe and Central Asia
66.13381127,0.765,Middle East and North Africa
14,0.176,South Asia
51.20542499,0.294,Latin America and the Caribbean
7.9,0.118,East Asia and the Pacific
48.43868795,0.206,Latin America and the Caribbean
40.9,0.324,Latin America and the Caribbean
53.7,0.353,East Asia and the Pacific
67.997,0.529,Europe and Central Asia
68.6329,0.294,Europe and Central Asia
92.88482645,0.618,Middle East and North Africa
89.64863086,0.706,East Asia and the Pacific
55.7632,0.471,Europe and Central Asia
73.41,0.5,Europe and Central Asia
18,0.529,Sub-Saharan Africa
75.7,0.147,Latin America and the Caribbean
42.53093047,0.118,Latin America and the Caribbean
51.77,0,Latin America and the Caribbean
25.40700977,0.176,East Asia and the Pacific
25.82,0.059,Sub-Saharan Africa
69.6162358,0.294,Middle East and North Africa
21.69026413,0.176,Sub-Saharan Africa
65.3170254,0.265,Europe and Central Asia
54.25961786,0.118,Sub-Saharan Africa
6.344421603,0.059,Sub-Saharan Africa
79.012957,0.676,East Asia and the Pacific
77.6347,0.618,Europe and Central Asia
73.0987,0.176,Europe and Central Asia
10.00046498,0.029,East Asia and the Pacific
1.76,0.029,Sub-Saharan Africa
51.91911572,0.382,Sub-Saharan Africa
5.5,0.088,Sub-Saharan Africa
78.6896,0.588,Europe and Central Asia
29.98873755,0.412,South Asia
57.42419241,0.147,Middle East and North Africa
26.61492855,0.441,Sub-Saharan Africa
42.76382778,0.118,Latin America and the Caribbean
25.64304231,0.059,Sub-Saharan Africa
90.6102,0.647,Europe and Central Asia
87.4790556,0.353,Europe and Central Asia
18.98,0.147,Europe and Central Asia
10,0.206,Sub-Saharan Africa
39.31612674,0.412,East Asia and the Pacific
23,0,East Asia and the Pacific
7.12,0.265,Sub-Saharan Africa
38.65127243,0.088,East Asia and the Pacific
69.19847061,0.206,Latin America and the Caribbean
48.51983599,0.529,Middle East and North Africa
53.74497914,0.647,Europe and Central Asia
14.99677482,0.088,Europe and Central Asia
42.7,0.059,East Asia and the Pacific
17.83485947,0.559,Sub-Saharan Africa
48.88464368,0.353,Europe and Central Asia
90.5,0.353,Middle East and North Africa
92.0003,0.706,Europe and Central Asia
74.55420245,0.824,North America
64.6,0.618,Latin America and the Caribbean
42.8,0.147,Europe and Central Asia
22.35140458,0.147,East Asia and the Pacific
43.5,0.324,East Asia and the Pacific
24.08540947,0.059,Middle East and North Africa
21,0.147,Sub-Saharan Africa
22.7428181,0.088,Sub-Saharan Africa
