variable,aror,asd
Afghanistan,10.59572642,561.7787463
Angola,13,3308.700233
Albania,66.3634447,4124.98239
Andorra,97.93063712,36988.62203
Arab World,42.02688726,6162.347272
United Arab Emirates,90.60000732,37622.20746
Argentina,70.15076431,12440.32098
Armenia,62,3614.688357
Antigua and Barbuda,73,14462.17628
Australia,88.23865805,49927.81951
Austria,84.32333129,44676.34583
Azerbaijan,78.2,3876.936433
Burundi,5.173626777,285.7274421
Belgium,86.5165,41236.26659
Benin,11.99404791,789.4404107
Burkina Faso,13.96,627.1030788
Bangladesh,18.246938,1358.779029
Bulgaria,59.82554766,7469.025247
Bahrain,97.9999807,22579.09342
"Bahamas, The",80,28785.47767
Bosnia and Herzegovina,69.33100561,4808.405425
Belarus,71.11304576,4986.496177
Belize,44.57574032,4744.736397
Bolivia,39.6975146,3104.956089
Brazil,59.68274736,8649.948492
Barbados,79.54939789,15891.62655
Brunei Darussalam,75,26939.41751
Bhutan,41.77264453,2773.547135
Botswana,39.36299738,6924.149775
Central African Republic,4,382.2131743
Canada,89.84,42157.92799
Central Europe and the Baltics,71.18731468,12742.60149
Switzerland,89.4055681,79890.52401
Chile,66.01,13792.92605
China,53.2,8123.180873
Cote d'Ivoire,26.52722561,1534.973724
Cameroon,25,1374.514172
"Congo, Dem. Rep.",6.20997406,405.5425009
"Congo, Rep.",8.121949323,1528.24472
Colombia,58.13649357,5805.605385
Comoros,7.938322771,775.0800846
Cabo Verde,48.1652774,2997.75268
Costa Rica,66.02871285,11824.6381
Caribbean small states,53.74735161,9206.765562
Cyprus,75.90036019,23324.20174
Czech Republic,76.48120138,18491.94011
Germany,89.64710059,42069.59799
Dominica,67.03,7906.721671
Denmark,96.96778525,53549.70067
Dominican Republic,61.32819041,6722.223536
Algeria,42.94552688,3916.881571
East Asia & Pacific (excluding high income),48.38662069,6586.833593
Early-demographic dividend,33.43606586,3280.823408
East Asia & Pacific,52.79632079,9787.775545
Europe & Central Asia (excluding high income),63.67274985,7167.338947
Europe & Central Asia,73.91475073,22230.20365
Ecuador,54.06292473,6018.526868
"Egypt, Arab Rep.",39.21381268,3477.851743
Euro area,80.44672593,35008.049
Spain,80.56133294,26639.74059
Estonia,87.23733209,17727.49293
Ethiopia,15.36692386,706.7574751
European Union,80.76910503,32233.48522
Fragile and conflict affected situations,17.49388301,1471.909837
Finland,87.70364996,43402.86326
Fiji,46.50697831,5233.469423
France,85.62219995,36854.96828
"Micronesia, Fed. Sts.",33.35216255,3143.749107
Gabon,48.05227375,7179.340661
United Kingdom,94.77580063,40341.40825
Georgia,50.00163739,3865.785693
Ghana,34.66600065,1513.461034
Guinea,9.8,661.5277734
"Gambia, The",18.5,473.1904366
Guinea-Bissau,3.761413832,641.5959647
Equatorial Guinea,23.77999997,8747.353473
Greece,69.08791547,17930.16423
Grenada,55.85640782,9841.76405
Guatemala,34.50932609,4146.744129
Guam,77.00999989,35562.56753
Guyana,35.66,4529.139412
High income,81.96771473,40803.582
"Hong Kong SAR, China",87.30034325,43681.42195
Honduras,30,2361.160205
Heavily indebted poor countries (HIPC),15.66787585,870.6510302
Croatia,72.69730605,12160.11063
Haiti,12.23260161,739.5954363
Hungary,79.25940132,12814.94995
IBRD only,46.01083884,5531.213477
IDA & IBRD total,39.27510594,4460.241398
IDA total,19.07087508,1270.246657
IDA blend,22.99712557,1772.214078
Indonesia,25.36630059,3570.294888
IDA only,17.11161059,1018.610099
India,29.54716289,1709.591808
Ireland,82.1697,63861.92198
"Iran, Islamic Rep.",53.22677263,5219.109408
Iraq,21.23,4609.600694
Iceland,98.2400163,59976.94257
Israel,79.77879126,37175.74203
Italy,61.32425277,30674.83607
Jamaica,45,4878.575791
Jordan,62.30219257,4087.937517
Japan,92,38900.56931
Kazakhstan,76.8,7713.551343
Kenya,26,1455.359765
Kyrgyz Republic,34.5,1077.036174
Cambodia,25.5706868,1269.907238
Kiribati,13.7,1587.057869
St. Kitts and Nevis,76.81767491,16596.82639
"Korea, Rep.",92.71654537,27538.80613
Kuwait,78.36738376,27359.23033
Latin America & Caribbean (excluding high income),55.80569206,7954.028884
Lao PDR,21.87,2353.136848
Lebanon,76.11,8257.294391
Liberia,7.319106411,455.3707414
St. Lucia,46.72907806,9364.821525
Latin America & Caribbean,56.3731135,8311.370178
Least developed countries: UN classification,15.61489627,960.5329467
Low income,12.4974282,610.5578673
Sri Lanka,32.05100274,3835.394817
Lower middle income,29.85231927,2078.835481
Low & middle income,38.97862796,4366.429509
Lesotho,27.36,1039.704072
Late-demographic dividend,56.5438381,8156.182557
Lithuania,74.37664556,14879.6803
Luxembourg,97.49393019,100573.14
Latvia,79.88937141,14064.66075
"Macao SAR, China",81.64298546,73186.96014
Morocco,58.27123642,2832.429777
